,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_RFE_10_SVM,127,43,84,0.9111,[0.8631-0.9592],0.0245,0.8096,0.3508,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_RFE_10_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_11_SVM,127,43,84,0.9200,[0.8753-0.9647],0.0228,0.8329,0.2632,0.6771,0.8110,0.7143,1.0000,0.7143,0.6418,1.0000
Mean_PCA_RFE_11_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_12_SVM,127,43,84,0.9322,[0.8912-0.9732],0.0209,0.8311,0.3499,0.7014,0.8425,0.7392,0.9535,0.7857,0.6949,0.9706
Mean_PCA_RFE_12_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_13_SVM,127,43,84,0.9336,[0.8930-0.9741],0.0207,0.8429,0.3517,0.7014,0.8425,0.7392,0.9535,0.7857,0.6949,0.9706
Mean_PCA_RFE_13_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_14_SVM,127,43,84,0.9560,[0.9231-0.9888],0.0168,0.9071,0.6102,0.8056,0.9134,0.8009,0.8605,0.9405,0.8810,0.9294
Mean_PCA_RFE_14_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_15_SVM,127,43,84,0.9560,[0.9231-0.9888],0.0168,0.9071,0.6102,0.8056,0.9134,0.8009,0.8605,0.9405,0.8810,0.9294
Mean_PCA_RFE_15_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_16_SVM,127,43,84,0.9618,[0.9316-0.9920],0.0154,0.9402,0.5711,0.8227,0.9213,0.8128,0.8605,0.9524,0.9024,0.9302
Mean_PCA_RFE_16_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_17_SVM,127,43,84,0.9618,[0.9316-0.9920],0.0154,0.9402,0.5711,0.8227,0.9213,0.8128,0.8605,0.9524,0.9024,0.9302
Mean_PCA_RFE_17_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_18_SVM,127,43,84,0.9618,[0.9316-0.9920],0.0154,0.9402,0.5711,0.8227,0.9213,0.8128,0.8605,0.9524,0.9024,0.9302
Mean_PCA_RFE_18_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_19_SVM,127,43,84,0.9618,[0.9316-0.9920],0.0154,0.9402,0.5711,0.8227,0.9213,0.8128,0.8605,0.9524,0.9024,0.9302
